idx,cluster
0,2
4,0
7,2
10,0
14,2
16,2
18,2
26,2
27,0
28,3
31,2
33,0
35,2
36,2
39,0
41,0
43,0
45,2
46,2
47,2
51,0
52,2
56,0
59,2
61,0
64,2
67,0
68,2
70,0
72,2
74,0
76,0
79,2
82,2
83,1
85,2
87,0
91,0
93,0
94,3
95,3
96,2
97,1
101,0
102,2
108,2
111,2
116,2
122,0
123,0
125,2
127,3
149,0
150,0
158,0
163,0
165,0
166,0
168,0
169,2
174,0
182,2
183,2
184,0
185,0
193,0
196,0
200,2
203,0
207,0
212,0
220,0
222,0
223,0
224,0
225,1
228,0
229,2
230,0
232,0
233,2
238,0
239,2
242,0
249,0
256,0
257,0
260,0
266,0
270,2
271,0
275,0
278,0
279,0
300,0
301,0
305,0
306,1
311,1
319,1
322,0
333,0
334,0
335,0
342,0
358,0
362,0
363,0
365,0
366,1
371,1
373,1
375,0
376,1
400,0
410,0
412,1
413,1
415,1
419,0
420,0
422,1
426,2
441,1
442,0
449,0
450,1
454,0
461,1
466,1
473,1
476,1
480,1
483,1
487,1
490,1
495,0
502,1
505,0
507,2
508,0
510,0
511,0
539,1
541,1
542,1
545,0
549,1
564,0
575,0
577,1
581,1
582,0
587,1
601,1
607,1
618,1
626,1
632,1
634,2
654,1
657,1
658,1
661,1
673,1
674,1
675,2
718,1
720,1
723,1
728,0
732,1
735,1
740,1
752,1
754,1
755,1
768,1
770,1
775,1
778,1
782,1
793,1
799,1
813,0
814,1
838,1
850,1
854,1
859,1
870,1
900,1
908,0
920,1
922,1
929,1
931,1
939,1
956,1
960,1
972,1
976,1
977,1
994,1
999,1
1001,1
1002,1
1008,0
1015,1
1016,1
1028,1
1029,1
1034,1
1044,1
1053,1
1068,1
1070,1
1079,1
1083,1
1085,1
1086,1
1093,1
1110,1
1111,1
1152,0
1153,0
1155,1
1165,0
1191,1
1192,1
1198,1
1201,1
1213,1
1217,1
1230,1
1238,1
1259,1
1270,1
1271,1
1272,1
1274,1
1275,1
1277,1
1286,0
1294,1
1296,1
1303,1
1318,1
1319,1
1326,1
1341,1
1344,1
1352,1
1358,1
1367,1
1377,1
1379,1
1390,1
1395,1
1399,0
1412,1
1415,1
1422,1
1428,1
1465,0
1468,1
1473,1
1482,1
1490,0
1491,1
1495,1
1506,0
1517,1
1518,1
1531,1
1535,1
1554,0
1568,0
1569,1
1583,1
1608,1
1611,1
1617,1
1625,1
1626,1
1633,1
1642,1
1643,1
1650,1
1652,1
1654,1
1709,1
1715,1
1725,0
1735,1
1750,1
1757,1
1762,1
1786,1
1794,1
1802,1
1808,1
1825,1
1826,1
1827,1
1864,1
1872,1
1902,1
1914,1
1932,1
1936,1
1938,1
1959,1
1976,1
1984,1
1990,0
1995,1
1997,0
2015,1
2046,1
2047,1
2066,1
2069,1
2076,1
2084,1
2087,1
2127,1
2129,1
2152,0
2155,1
2157,1
2163,1
2198,1
2235,1
2253,1
2258,1
2262,1
2264,1
2285,0
2292,1
2317,1
2320,1
2324,1
2327,1
2372,1
2375,1
2380,1
2387,1
2389,1
2403,0
2410,1
2433,1
2442,1
2444,1
2482,1
2484,1
2486,1
2492,1
2509,1
2541,1
2561,1
2577,1
2581,1
2590,1
2592,1
2605,1
2630,1
2636,1
2638,1
2639,1
2654,1
2696,1
2726,1
2743,1
2746,1
2751,1
2752,0
2755,1
2758,1
2781,1
2791,1
2815,1
2817,1
2824,1
2826,1
2831,1
2841,1
2845,1
2851,1
2862,1
2865,1
2868,1
2877,1
2884,1
2897,1
2900,1
2912,2
2923,1
2934,1
2964,1
2966,0
2967,0
2991,1
2994,1
2995,1
3002,1
3006,1
3014,1
3018,1
3024,1
3055,1
3072,1
3089,1
3133,1
3147,1
3150,1
3155,1
3158,0
3163,1
3184,1
3203,1
3204,1
3208,1
3214,1
3230,1
3240,1
3296,1
3305,1
3323,1
3350,1
3361,1
3372,1
3386,1
3396,1
3405,1
3427,1
3439,0
3460,1
3494,1
3511,1
3534,1
3549,1
3552,1
3556,1
3568,1
3604,1
3613,1
3624,1
3630,1
3642,1
3652,1
3656,1
3668,1
3730,1
3736,1
3749,1
3795,1
3800,1
3885,1
3895,1
3899,1
3904,1
3920,1
3929,1
3948,1
3956,1
3987,1
3988,1
3993,1
4003,1
4011,1
4012,1
4022,1
4032,1
4039,1
4042,1
4069,1
4073,1
4077,1
4117,1
4128,1
4131,1
4156,1
4160,1
4176,1
4187,1
4193,1
4225,1
4245,1
4251,1
4254,1
4267,1
4276,1
4284,1
4325,1
4327,1
4332,1
4344,1
4379,1
4398,1
4399,1
4401,1
4423,1
4425,1
4427,1
4448,1
4450,1
4466,1
4470,1
4487,1
4516,1
4542,1
4555,1
4563,1
4587,1
4601,1
4623,1
4639,1
4651,1
4669,1
4670,1
4688,1
4691,1
4693,1
4700,1
4715,1
4724,1
4728,1
4734,1
4741,1
4745,1
4758,1
4764,1
4787,1
4796,1
