idx,cluster
269,2
409,0
435,2
465,3
482,2
516,2
578,2
598,2
605,3
637,2
698,2
719,0
765,2
810,2
839,1
875,2
917,2
1018,0
1055,2
1080,1
1088,1
1176,1
1208,1
1216,2
1221,1
1268,0
1315,0
1441,3
1483,2
1521,3
1527,1
1538,2
1561,2
1594,2
1609,3
1614,0
1623,1
1683,2
1684,2
1696,2
1705,0
1753,2
1755,0
1776,1
1817,2
1878,3
1880,3
1965,0
1977,1
1982,0
2042,3
2048,0
2053,0
2067,3
2092,3
2099,2
2106,0
2136,3
2140,1
2148,0
2217,0
2224,1
2227,0
2232,1
2238,0
2243,1
2249,0
2303,3
2304,0
2328,1
2337,3
2347,0
2350,0
2382,3
2395,2
2399,3
2404,1
2422,2
2487,0
2489,3
2524,0
2542,0
2591,3
2593,0
2599,0
2606,0
2618,0
2651,3
2660,2
2674,0
2693,1
2729,0
2732,0
2765,0
2799,1
2820,2
2825,1
2827,3
2837,3
2866,0
2916,0
2951,0
2955,0
2974,0
2992,1
3003,3
3016,0
3019,0
3036,3
3059,3
3060,1
3069,0
3127,3
3160,0
3187,3
3188,0
3190,3
3211,0
3212,0
3230,3
3236,1
3273,0
3282,2
3286,0
3321,0
3338,3
3369,0
3407,0
3421,0
3450,1
3464,3
3484,3
3525,0
3576,0
3662,0
3702,3
3731,3
3770,3
3802,1
3816,0
3820,0
3860,3
3868,0
3909,3
3911,3
3950,0
4006,0
4043,0
4046,0
4049,3
4050,0
4060,3
4094,0
4097,3
4119,3
4126,3
4149,0
4153,3
4166,1
4177,0
4203,0
4305,3
4349,3
4352,0
4363,3
4423,3
4484,3
4495,0
4497,1
4503,0
4507,3
4525,3
4547,3
4558,3
4570,3
4573,1
4594,3
4606,0
4652,3
4663,0
4678,0
4692,3
4704,3
4736,3
4766,0
