idx,cluster
45,1
97,0
116,1
135,0
217,1
296,0
346,0
417,0
451,0
474,3
497,0
517,0
542,3
589,1
595,0
597,1
624,0
632,0
654,1
657,0
666,0
740,1
759,0
768,0
770,0
775,0
779,0
791,0
799,0
801,1
838,1
864,1
880,0
912,1
924,0
937,1
947,0
953,0
956,0
1011,2
1030,0
1056,1
1059,0
1063,0
1070,0
1093,0
1129,0
1132,0
1160,1
1164,0
1167,1
1186,0
1192,0
1205,0
1210,0
1213,0
1219,0
1224,0
1236,3
1238,3
1242,0
1265,3
1271,0
1313,0
1318,1
1351,0
1377,0
1378,0
1379,0
1395,1
1396,0
1407,0
1410,0
1411,0
1430,3
1437,3
1449,3
1482,0
1484,0
1501,0
1518,3
1534,0
1549,0
1567,1
1598,0
1604,0
1605,1
1609,0
1613,1
1627,0
1637,3
1642,0
1645,3
1648,0
1654,3
1693,3
1707,0
1722,3
1729,3
1735,3
1737,0
1757,3
1766,0
1786,0
1788,3
1789,0
1791,0
1804,3
1823,0
1838,0
1839,0
1845,0
1866,0
1872,3
1876,3
1893,3
1903,3
1905,3
1911,3
1914,0
1926,0
1939,3
1961,0
1968,0
1981,0
1988,1
1993,0
2014,0
2044,3
2076,3
2084,0
2088,3
2094,0
2096,1
2117,3
2120,0
2125,3
2132,3
2137,0
2143,0
2146,3
2149,3
2157,0
2160,3
2163,3
2169,0
2170,1
2180,3
2181,1
2208,0
2230,3
2237,3
2264,3
2267,0
2282,1
2283,3
2284,1
2286,3
2293,0
2306,0
2308,3
2318,0
2329,3
2339,3
2379,3
2380,3
2387,3
2394,3
2402,0
2403,1
2405,0
2409,0
2413,0
2417,0
2425,3
2430,0
2445,3
2460,3
2462,3
2468,3
2477,0
2500,3
2509,3
2526,0
2533,0
2534,3
2540,0
2541,0
2551,3
2553,0
2555,3
2561,0
2567,3
2568,0
2575,3
2576,3
2581,3
2586,0
2626,3
2628,3
2635,0
2647,3
2673,0
2676,3
2684,3
2685,3
2686,3
2692,3
2696,3
2705,3
2715,3
2733,3
2742,1
2749,3
2751,0
2762,3
2780,3
2794,3
2795,3
2808,1
2809,1
2830,0
2831,3
2832,3
2841,3
2842,3
2845,0
2850,3
2877,0
2879,3
2883,0
2902,0
2907,0
2911,1
2928,0
2932,3
2944,0
2958,0
2964,3
2965,3
2977,0
2980,0
2982,0
2983,3
2988,0
2990,0
2997,0
2998,3
3000,0
3002,3
3006,3
3014,0
3015,0
3017,3
3030,0
3031,0
3050,0
3058,3
3081,3
3108,3
3124,3
3126,3
3133,3
3137,3
3146,3
3147,3
3153,3
3158,1
3159,0
3163,3
3167,0
3169,1
3175,3
3189,0
3192,0
3210,0
3220,3
3230,3
3235,3
3240,1
3246,3
3252,0
3265,3
3288,3
3291,3
3312,3
3331,0
3333,3
3342,3
3353,0
3355,3
3357,0
3360,3
3361,3
3364,3
3372,3
3401,3
3413,0
3418,1
3423,0
3428,3
3442,3
3455,3
3467,3
3469,3
3486,3
3511,3
3524,3
3549,3
3554,0
3555,0
3558,0
3559,0
3560,0
3561,3
3563,0
3566,3
3569,3
3572,3
3574,0
3586,0
3592,3
3595,3
3597,1
3598,3
3600,3
3601,3
3604,3
3617,3
3630,3
3640,0
3648,0
3652,3
3653,0
3656,3
3658,3
3671,3
3672,3
3676,0
3677,0
3680,3
3683,3
3717,3
3720,3
3736,3
3737,0
3742,0
3744,3
3749,0
3752,3
3761,0
3762,3
3774,3
3785,3
3795,3
3806,3
3807,3
3808,3
3829,3
3835,0
3840,3
3841,0
3843,3
3845,0
3853,3
3873,3
3877,0
3882,3
3885,3
3889,0
3893,3
3895,1
3896,0
3902,3
3907,3
3920,3
3929,3
3939,3
3948,0
3954,3
3957,3
3958,3
3978,3
3980,3
3982,3
3985,3
3988,3
3998,3
4005,3
4008,3
4011,3
4018,3
4031,3
4035,3
4036,3
4038,3
4052,3
4053,3
4061,3
4066,0
4069,3
4072,3
4074,1
4080,3
4102,3
4116,3
4128,3
4131,3
4132,3
4134,3
4137,3
4138,3
4139,3
4145,3
4151,3
4157,3
4170,3
4185,3
4186,3
4190,3
4195,0
4207,3
4213,3
4224,1
4233,3
4234,3
4237,3
4240,3
4245,3
4248,3
4249,3
4257,3
4258,3
4262,3
4264,3
4266,3
4274,3
4280,3
4282,3
4284,3
4291,1
4313,2
4317,3
4318,2
4321,3
4323,3
4325,3
4327,3
4328,2
4330,3
4336,0
4338,3
4340,3
4341,0
4343,3
4344,3
4347,3
4353,3
4368,3
4390,3
4414,3
4415,3
4420,3
4421,3
4424,3
4428,3
4435,2
4464,3
4466,2
4472,3
4473,3
4476,3
4477,3
4478,3
4489,3
4496,0
4516,3
4539,3
4545,3
4552,3
4558,2
4563,3
4568,3
4574,3
4577,0
4584,2
4585,3
4587,3
4595,0
4596,3
4608,3
4624,3
4625,3
4628,3
4629,3
4644,3
4658,2
4669,3
4680,3
4682,3
4683,3
4684,3
4707,3
4723,3
4724,3
4728,3
4735,3
4745,3
4748,3
4753,3
4756,2
4765,3
4767,3
4771,3
4783,3
4788,3
4791,3
4792,3
4794,3
