idx,cluster
0,1
1,1
2,1
3,1
4,2
5,1
7,1
9,1
10,2
11,2
12,1
13,2
14,1
16,1
17,1
18,2
19,1
20,1
21,2
24,2
26,1
27,2
28,1
29,1
30,2
31,1
33,2
35,2
36,1
38,2
39,2
41,2
43,2
44,1
45,2
46,1
47,2
48,2
50,2
51,2
52,2
53,2
55,2
56,2
58,3
59,2
61,2
62,2
65,1
68,1
70,3
71,2
72,1
74,2
75,3
76,2
79,2
81,2
82,1
83,0
84,3
85,2
88,1
91,2
93,2
94,1
96,1
97,0
98,1
99,3
101,2
102,2
103,3
104,3
107,2
108,2
111,2
112,3
115,2
116,2
119,2
121,2
122,2
123,2
125,2
126,2
127,1
129,2
131,3
134,2
138,3
139,2
140,3
147,2
148,2
149,2
150,2
151,3
152,2
153,2
156,2
157,2
158,2
159,2
160,2
162,3
163,2
164,3
165,3
166,2
167,3
168,3
169,2
170,3
174,2
180,2
182,2
183,2
186,3
187,3
188,3
193,3
196,2
198,3
199,1
203,2
204,2
205,2
206,3
207,3
208,3
209,2
210,3
212,2
213,2
215,2
216,2
217,3
218,2
219,3
222,2
223,3
224,3
225,3
227,3
228,2
229,2
230,2
232,2
233,2
236,3
237,3
238,2
240,3
241,3
242,3
243,2
244,2
245,3
246,3
248,2
252,3
253,2
257,3
259,3
260,3
261,2
262,1
263,3
266,2
267,3
271,3
273,3
274,2
275,2
277,2
278,3
279,2
282,3
285,3
286,3
290,2
291,3
292,3
295,3
296,3
297,3
299,3
300,3
303,3
304,3
307,3
308,3
310,3
311,0
312,3
315,2
319,3
320,3
322,2
329,1
330,1
332,3
334,3
335,2
337,2
339,2
340,3
342,2
344,3
345,3
350,3
353,3
355,3
356,2
361,3
362,2
366,3
369,3
370,2
371,3
372,3
376,3
379,0
381,0
383,3
386,3
387,3
389,3
392,3
394,3
396,3
400,2
402,3
403,3
405,3
408,3
411,3
412,3
415,3
424,3
425,2
428,3
432,3
433,3
437,3
442,3
446,3
447,3
449,3
453,0
455,3
456,2
457,3
466,3
467,3
468,3
469,3
472,3
475,0
476,3
478,3
480,0
483,3
486,3
487,0
490,0
491,3
495,3
500,3
503,0
505,3
507,2
508,3
510,3
511,3
512,3
513,3
518,0
523,3
525,3
528,3
529,3
530,3
531,3
534,3
535,3
537,3
539,0
540,0
541,0
542,0
543,0
544,0
547,3
553,3
556,3
560,3
568,3
570,3
571,2
573,3
574,3
577,3
579,3
580,3
581,3
582,3
586,3
587,3
589,3
590,3
594,3
595,0
596,0
597,3
600,3
601,0
602,0
604,0
607,3
609,3
610,0
611,3
613,3
615,0
618,0
621,3
622,3
624,3
627,0
629,3
634,2
640,3
643,3
644,3
645,3
653,3
654,3
655,0
657,3
658,3
659,3
660,3
664,0
665,0
668,0
674,0
676,3
677,3
678,3
680,3
683,0
685,0
687,2
691,0
694,3
695,3
700,3
702,3
708,2
711,3
715,3
716,0
718,0
724,3
728,3
731,3
732,3
735,0
736,0
737,3
739,3
740,3
741,3
745,0
746,0
747,3
750,3
753,0
755,3
761,0
762,0
767,0
768,0
773,3
774,3
777,3
782,0
784,0
786,3
787,3
788,1
790,2
794,3
799,3
800,0
804,0
805,3
807,3
808,0
813,3
818,3
821,3
823,3
828,3
830,3
831,0
833,3
834,3
836,0
838,3
840,3
844,0
850,0
854,0
856,0
859,0
863,0
864,3
866,0
870,3
873,0
880,3
888,0
893,0
894,0
911,3
914,3
919,3
920,0
922,3
929,3
930,3
931,0
932,3
933,0
937,3
939,3
941,3
945,0
950,3
951,0
952,0
955,0
956,3
959,0
963,0
969,3
972,3
973,0
976,0
979,3
981,0
982,3
984,0
985,3
988,0
989,0
992,0
993,0
994,0
1000,0
1001,0
1002,0
1003,0
1006,2
1008,3
1012,3
1020,3
1024,0
1027,3
1034,3
1035,0
1041,3
1043,3
1044,3
1049,3
1052,3
1056,3
1058,0
1064,0
1070,0
1073,0
1076,0
1077,0
1079,3
1082,3
1083,3
1084,0
1089,0
1093,0
1095,0
1096,0
1097,0
1099,0
1100,3
1101,0
1103,3
1104,3
1106,3
1109,3
1110,3
1114,0
1118,0
1119,3
1124,3
1131,3
1133,0
1136,0
1137,0
1138,3
1139,0
1140,0
1143,3
1144,0
1146,0
1153,2
1155,0
1158,3
1174,0
1175,3
1177,3
1178,0
1183,3
1188,0
1191,0
1192,0
1193,3
1195,3
1199,3
1200,3
1201,3
1213,0
1230,0
1234,0
1239,0
1245,0
1249,0
1253,0
1254,0
1256,0
1266,0
1267,0
1269,0
1270,0
1271,0
1272,0
1273,0
1278,0
1279,0
1281,0
1282,0
1284,0
1285,0
1286,3
1288,0
1289,0
1290,3
1294,3
1296,0
1298,3
1302,0
1303,0
1304,0
1310,0
1317,0
1319,3
1320,0
1321,0
1324,0
1332,3
1334,0
1339,0
1341,0
1342,0
1343,3
1347,0
1357,0
1359,3
1361,3
1363,0
1377,0
1380,0
1390,3
1395,3
1398,0
1399,3
1404,0
1412,0
1417,0
1419,0
1425,0
1428,0
1431,0
1432,0
1434,3
1437,0
1438,0
1439,0
1440,0
1443,0
1445,0
1447,0
1448,0
1450,0
1453,0
1456,3
1457,0
1459,3
1463,0
1465,2
1469,0
1470,0
1479,0
1482,0
1484,0
1486,3
1488,0
1490,2
1491,0
1500,3
1503,0
1505,0
1507,0
1510,0
1513,0
1514,0
1515,0
1517,0
1518,0
1528,0
1531,3
1538,3
1542,3
1546,3
1568,3
1573,0
1577,0
1583,0
1586,3
1592,0
1596,3
1597,3
1608,0
1610,0
1611,0
1615,0
1616,0
1617,0
1625,0
1626,0
1628,0
1633,0
1635,0
1636,0
1637,0
1645,0
1650,0
1652,0
1653,0
1661,0
1664,0
1667,0
1669,0
1670,0
1671,3
1672,0
1675,0
1686,0
1697,3
1699,0
1701,0
1702,3
1707,0
1713,3
1715,0
1720,3
1721,0
1727,0
1733,0
1735,0
1740,3
1741,0
1742,0
1743,3
1750,0
1753,3
1757,0
1765,0
1769,0
1771,0
1777,0
1783,3
1790,0
1792,3
1795,0
1802,0
1815,3
1817,3
1825,0
1826,3
1827,0
1830,0
1836,0
1837,0
1844,3
1848,0
1850,3
1851,0
1853,0
1854,0
1858,0
1860,0
1868,0
1872,0
1877,0
1880,0
1892,0
1894,0
1897,0
1907,0
1908,0
1910,0
1918,0
1920,3
1930,0
1932,0
1933,0
1936,0
1939,0
1953,0
1954,0
1955,0
1956,0
1962,0
1973,0
1978,0
1986,0
1990,2
1991,3
1995,0
