idx,cluster
3499,2
3510,0
3512,0
3520,2
3528,2
3530,2
3533,2
3536,2
3552,2
3579,2
3593,3
3596,2
3599,0
3603,2
3608,0
3609,2
3610,2
3611,2
3612,2
3616,2
3633,2
3641,2
3649,2
3650,0
3655,2
3664,2
3686,2
3687,2
3690,2
3695,2
3696,3
3700,2
3702,2
3703,2
3732,2
3734,2
3739,2
3740,0
3741,2
3743,2
3745,2
3756,2
3757,2
3758,0
3763,2
3767,2
3771,2
3772,2
3778,2
3784,2
3791,2
3793,2
3803,2
3805,2
3809,2
3810,2
3813,0
3816,2
3820,2
3821,2
3837,2
3839,0
3846,2
3872,2
3875,2
3879,2
3881,2
3890,2
3894,2
3898,2
3906,0
3910,2
3911,2
3915,2
3917,2
3918,2
3923,2
3925,2
3926,2
3931,2
3947,2
3949,2
3957,2
3973,2
3977,2
3981,2
3984,0
3989,0
3994,2
3996,0
4000,0
4006,2
4015,2
4016,2
4017,2
4019,2
4020,2
4023,2
4024,2
4030,2
4046,2
4056,2
4059,2
4060,2
4062,0
4073,2
4084,0
4088,2
4091,0
4094,2
4097,2
4101,2
4103,2
4107,2
4121,2
4126,2
4128,2
4129,2
4163,2
4174,0
4179,0
4188,2
4190,2
4197,2
4198,2
4199,2
4200,0
4201,0
4206,2
4208,2
4210,2
4211,0
4223,2
4229,2
4232,2
4235,2
4243,2
4247,2
4251,2
4278,2
4280,2
4289,2
4295,2
4296,2
4308,2
4329,3
4331,0
4335,0
4345,2
4349,2
4354,2
4355,2
4358,2
4361,2
4364,2
4365,2
4367,2
4371,0
4373,2
4378,2
4380,2
4393,2
4396,2
4397,2
4406,2
4409,2
4416,2
4417,2
4418,2
4427,2
4430,2
4443,2
4447,2
4455,2
4456,2
4457,2
4470,2
4487,2
4495,2
4513,2
4522,2
4525,2
4527,2
4529,2
4530,2
4532,2
4533,2
4537,2
4540,2
4551,2
4557,2
4567,2
4570,2
4573,0
4586,3
4588,2
4594,2
4604,2
4626,2
4627,2
4631,2
4632,2
4635,2
4637,2
4640,2
4643,2
4661,0
4663,0
4667,2
4671,2
4677,0
4687,2
4696,2
4697,2
4701,2
4703,2
4704,2
4719,2
4739,2
4740,2
4749,2
4751,2
4752,2
4763,2
4768,2
4774,2
4781,2
4784,2
4786,2
4799,2
4800,0
